Symptom Description,Disease
"changes in appetite, loss of interest, fatigue, persistent sadness, insomnia",Depression
"shortness of breath, fatigue, mucus, cough",Bronchitis
"sensitivity to light, vomiting, sensitivity to sound, nausea",Migraine
"dry cough, difficulty breathing, tiredness, loss of taste, fever",COVID-19
"shortness of breath, coughing, chest tightness, wheezing",Asthma
"rash, loss of appetite, fever",Chickenpox
"chest tightness, shortness of breath, coughing",Asthma
"shortness of breath, nosebleeds, dizziness",Hypertension
"vomiting, chills, fever, sweating, headache",Malaria
"fever, nausea, sweating, chills, headache, vomiting",Malaria
"chills, fever, sweating, vomiting, nausea, headache",Malaria
"cough, fatigue, headache",Flu
"fever, loss of smell, tiredness, difficulty breathing, loss of taste, dry cough",COVID-19
"sweating, difficulty concentrating, restlessness, increased heart rate",Anxiety
"sweating, chills, nausea, vomiting",Malaria
"chest pain, fatigue, cough, fever, shortness of breath",Pneumonia
"fatigue, weight loss, coughing",Tuberculosis
"headache, muscle aches, fatigue, fever",Flu
"chest tightness, coughing, shortness of breath, wheezing",Asthma
"fatigue, coughing, fever",Tuberculosis
"night sweats, fatigue, weight loss",Tuberculosis
"fatigue, increased thirst, weight loss, blurred vision, frequent urination",Diabetes
"runny nose, itchy eyes, congestion",Allergy
"fatigue, frequent urination, blurred vision",Diabetes
"nausea, sweating, vomiting, chills, fever, headache",Malaria
"fatigue, increased thirst, blurred vision",Diabetes
"mucus, shortness of breath, slight fever, fatigue",Bronchitis
"slight fever, shortness of breath, mucus, cough",Bronchitis
"wheezing, shortness of breath, chest tightness",Asthma
"headache, cough, muscle aches, fatigue, fever, chills",Flu
"fatigue, rash, loss of appetite, itching, fever",Chickenpox
"mucus, fatigue, slight fever, cough",Bronchitis
"nausea, vomiting, sensitivity to sound",Migraine
"vomiting, fever, nausea, sweating, chills, headache",Malaria
"loss of appetite, itching, fever",Chickenpox
"shortness of breath, headache, nosebleeds, dizziness",Hypertension
"persistent sadness, insomnia, loss of interest, fatigue",Depression
"fatigue, insomnia, persistent sadness, loss of interest, changes in appetite",Depression
"fever, fatigue, coughing",Tuberculosis
"shortness of breath, dizziness, headache, nosebleeds",Hypertension
"fever, fatigue, chills",Flu
"nosebleeds, dizziness, headache",Hypertension
"fever, cough, chest pain, shortness of breath",Pneumonia
"cough, chest pain, shortness of breath, fatigue, fever",Pneumonia
"itchy eyes, rash, sneezing, runny nose",Allergy
"frequent urination, fatigue, increased thirst, weight loss",Diabetes
"nervousness, sweating, difficulty concentrating, increased heart rate",Anxiety
"headache, sweating, chills, nausea",Malaria
"headache, chills, fatigue, cough, fever",Flu
"mucus, fatigue, shortness of breath, cough, slight fever",Bronchitis
"fatigue, shortness of breath, slight fever, mucus",Bronchitis
"restlessness, nervousness, sweating, increased heart rate, difficulty concentrating",Anxiety
"headache, nausea, vomiting, chills, sweating",Malaria
"fatigue, persistent sadness, changes in appetite, loss of interest, insomnia",Depression
"weight loss, coughing, fever, night sweats, fatigue",Tuberculosis
"cough, slight fever, fatigue",Bronchitis
"shortness of breath, dizziness, nosebleeds, headache",Hypertension
"congestion, runny nose, sore throat, mild fever, cough",Common Cold
"chest tightness, shortness of breath, coughing, wheezing",Asthma
"sweating, nervousness, restlessness, difficulty concentrating, increased heart rate",Anxiety
"increased heart rate, sweating, nervousness, restlessness, difficulty concentrating",Anxiety
"slight fever, shortness of breath, cough, mucus, fatigue",Bronchitis
"runny nose, cough, mild fever, sore throat",Common Cold
"restlessness, increased heart rate, sweating",Anxiety
"fatigue, persistent sadness, loss of interest, changes in appetite, insomnia",Depression
"itchy eyes, sneezing, runny nose, rash, congestion",Allergy
"coughing, fever, night sweats, fatigue",Tuberculosis
"headache, nosebleeds, shortness of breath, dizziness",Hypertension
"nosebleeds, shortness of breath, dizziness, headache",Hypertension
"runny nose, sneezing, rash",Allergy
"frequent urination, blurred vision, increased thirst, fatigue, weight loss",Diabetes
"fatigue, fever, chest pain, cough, shortness of breath",Pneumonia
"headache, fatigue, cough, chills, fever",Flu
"fever, vomiting, sweating, chills",Malaria
"loss of interest, insomnia, changes in appetite, persistent sadness",Depression
"fever, fatigue, shortness of breath, cough",Pneumonia
"dry cough, tiredness, fever, loss of smell",COVID-19
"sensitivity to sound, nausea, vomiting",Migraine
"fatigue, shortness of breath, cough, fever, chest pain",Pneumonia
"sensitivity to sound, nausea, vomiting",Migraine
"persistent sadness, changes in appetite, loss of interest, fatigue, insomnia",Depression
"rash, itchy eyes, congestion, sneezing, runny nose",Allergy
"sensitivity to sound, nausea, sensitivity to light",Migraine
"muscle aches, headache, fatigue",Flu
"vomiting, headache, nausea, chills, fever",Malaria
"slight fever, cough, shortness of breath, fatigue",Bronchitis
"congestion, sore throat, runny nose, mild fever, sneezing, cough",Common Cold
"night sweats, fever, fatigue, coughing, weight loss",Tuberculosis
"shortness of breath, fatigue, slight fever, cough",Bronchitis
"itching, rash, fever, loss of appetite, fatigue",Chickenpox
"fatigue, blurred vision, weight loss",Diabetes
"wheezing, coughing, chest tightness",Asthma
"nervousness, sweating, difficulty concentrating",Anxiety
"chest pain, fatigue, fever, shortness of breath",Pneumonia
"increased heart rate, restlessness, difficulty concentrating, nervousness, sweating",Anxiety
"nausea, sensitivity to light, sensitivity to sound, headache, vomiting",Migraine
"dizziness, nosebleeds, shortness of breath",Hypertension
"rash, itchy eyes, sneezing, runny nose, congestion",Allergy
"fatigue, fever, loss of appetite",Chickenpox
"runny nose, cough, mild fever",Common Cold
"difficulty concentrating, restlessness, sweating, nervousness, increased heart rate",Anxiety
"shortness of breath, chest tightness, wheezing, coughing",Asthma
"loss of appetite, rash, fatigue, fever, itching",Chickenpox
"frequent urination, blurred vision, increased thirst",Diabetes
"restlessness, nervousness, increased heart rate, sweating",Anxiety
"cough, muscle aches, chills",Flu
"fatigue, cough, chills",Flu
"sneezing, cough, runny nose, congestion",Common Cold
"chest pain, cough, shortness of breath, fatigue, fever",Pneumonia
"difficulty breathing, loss of smell, fever, loss of taste",COVID-19
"difficulty concentrating, sweating, nervousness, restlessness, increased heart rate",Anxiety
"nervousness, difficulty concentrating, sweating",Anxiety
"fatigue, slight fever, cough",Bronchitis
"increased heart rate, difficulty concentrating, nervousness, sweating, restlessness",Anxiety
"vomiting, fever, chills, headache",Malaria
"fatigue, shortness of breath, cough, chest pain",Pneumonia
"fatigue, loss of interest, persistent sadness",Depression
"fever, chills, sweating, vomiting, nausea",Malaria
"headache, nausea, sensitivity to light, sensitivity to sound, vomiting",Migraine
"fatigue, cough, mucus, shortness of breath",Bronchitis
"itchy eyes, runny nose, congestion, sneezing, rash",Allergy
"fever, loss of taste, dry cough, difficulty breathing, loss of smell, tiredness",COVID-19
"muscle aches, fever, headache",Flu
"fatigue, itching, loss of appetite, fever",Chickenpox
"sensitivity to sound, sensitivity to light, vomiting, nausea, headache",Migraine
"fatigue, insomnia, persistent sadness",Depression
"tiredness, dry cough, loss of smell, loss of taste, fever, difficulty breathing",COVID-19
"insomnia, changes in appetite, loss of interest",Depression
"cough, fever, fatigue",Pneumonia
"sneezing, congestion, rash, itchy eyes",Allergy
"loss of taste, dry cough, difficulty breathing",COVID-19
"increased thirst, frequent urination, blurred vision, weight loss, fatigue",Diabetes
"nausea, sweating, headache, vomiting",Malaria
"weight loss, blurred vision, increased thirst, fatigue",Diabetes
"nosebleeds, shortness of breath, headache, dizziness",Hypertension
"fever, chills, cough, headache, fatigue, muscle aches",Flu
"fatigue, weight loss, fever",Tuberculosis
"loss of appetite, itching, rash",Chickenpox
"fever, cough, shortness of breath, chest pain, fatigue",Pneumonia
"loss of smell, difficulty breathing, tiredness, dry cough, loss of taste",COVID-19
"nosebleeds, dizziness, headache, shortness of breath",Hypertension
"dizziness, shortness of breath, headache",Hypertension
"fatigue, rash, loss of appetite, itching",Chickenpox
"insomnia, changes in appetite, persistent sadness, loss of interest, fatigue",Depression
"sensitivity to light, sensitivity to sound, nausea, vomiting",Migraine
"sweating, difficulty concentrating, nervousness, increased heart rate, restlessness",Anxiety
"fatigue, loss of interest, persistent sadness",Depression
"coughing, chest tightness, shortness of breath, wheezing",Asthma
"shortness of breath, wheezing, coughing",Asthma
"cough, congestion, sore throat, sneezing, mild fever",Common Cold
"loss of interest, insomnia, changes in appetite",Depression
"fatigue, headache, cough, chills",Flu
"chest tightness, wheezing, shortness of breath, coughing",Asthma
"runny nose, mild fever, sneezing, sore throat",Common Cold
"persistent sadness, changes in appetite, fatigue, loss of interest",Depression
"runny nose, sore throat, sneezing, mild fever, cough, congestion",Common Cold
"itchy eyes, sneezing, runny nose, congestion, rash",Allergy
"chest pain, cough, fatigue, shortness of breath, fever",Pneumonia
"sweating, chills, vomiting, headache, nausea",Malaria
"persistent sadness, fatigue, changes in appetite",Depression
"fever, rash, loss of appetite",Chickenpox
"persistent sadness, insomnia, changes in appetite, fatigue",Depression
"sensitivity to sound, headache, nausea, sensitivity to light",Migraine
"fatigue, cough, fever, chest pain, shortness of breath",Pneumonia
"loss of smell, tiredness, loss of taste, difficulty breathing",COVID-19
"nervousness, sweating, increased heart rate",Anxiety
"fatigue, loss of appetite, rash, fever",Chickenpox
"coughing, night sweats, fever, fatigue, weight loss",Tuberculosis
"wheezing, chest tightness, coughing",Asthma
"congestion, runny nose, rash",Allergy
"sweating, restlessness, difficulty concentrating, nervousness, increased heart rate",Anxiety
"chest pain, fever, cough",Pneumonia
"muscle aches, cough, chills",Flu
"chest tightness, shortness of breath, wheezing",Asthma
"restlessness, nervousness, sweating",Anxiety
"dizziness, nosebleeds, headache, shortness of breath",Hypertension
"runny nose, rash, congestion, sneezing",Allergy
"sensitivity to sound, headache, nausea",Migraine
"dry cough, fever, loss of smell",COVID-19
"fever, nausea, vomiting",Malaria
"headache, nosebleeds, dizziness, shortness of breath",Hypertension
"wheezing, shortness of breath, coughing",Asthma
"loss of taste, difficulty breathing, fever, tiredness, loss of smell, dry cough",COVID-19
"chest pain, fever, fatigue",Pneumonia
"sensitivity to sound, headache, sensitivity to light, nausea",Migraine
"sneezing, congestion, mild fever",Common Cold
"fever, fatigue, cough, chest pain",Pneumonia
"dry cough, tiredness, difficulty breathing, loss of smell",COVID-19
"nosebleeds, shortness of breath, dizziness, headache",Hypertension
"chest tightness, coughing, wheezing, shortness of breath",Asthma
"chest tightness, coughing, shortness of breath, wheezing",Asthma
"fatigue, changes in appetite, persistent sadness, loss of interest",Depression
"itching, loss of appetite, rash",Chickenpox
"mucus, shortness of breath, cough, slight fever",Bronchitis
"restlessness, difficulty concentrating, sweating, nervousness",Anxiety
"fatigue, insomnia, loss of interest",Depression
"dizziness, shortness of breath, headache",Hypertension
"nausea, fever, chills, vomiting, sweating, headache",Malaria
"nosebleeds, shortness of breath, dizziness, headache",Hypertension
"shortness of breath, coughing, wheezing",Asthma
"congestion, runny nose, sneezing, sore throat, cough",Common Cold
"persistent sadness, loss of interest, changes in appetite, insomnia",Depression
"fatigue, cough, shortness of breath",Bronchitis
"night sweats, fatigue, fever, coughing, weight loss",Tuberculosis
"night sweats, fatigue, weight loss",Tuberculosis
"dry cough, tiredness, loss of taste",COVID-19
"increased heart rate, sweating, difficulty concentrating",Anxiety
"fatigue, mucus, cough, slight fever",Bronchitis
"sensitivity to sound, nausea, vomiting",Migraine
"fatigue, chills, fever, headache, muscle aches, cough",Flu
"itching, fever, fatigue, rash, loss of appetite",Chickenpox
"sneezing, cough, sore throat, mild fever, runny nose, congestion",Common Cold
"headache, sweating, vomiting, nausea, fever, chills",Malaria
"sensitivity to sound, nausea, sensitivity to light, vomiting",Migraine
"loss of smell, tiredness, loss of taste, dry cough",COVID-19
"sore throat, cough, sneezing, congestion, runny nose, mild fever",Common Cold
"loss of smell, difficulty breathing, dry cough, fever, loss of taste, tiredness",COVID-19
"fatigue, shortness of breath, cough, slight fever",Bronchitis
"fatigue, changes in appetite, persistent sadness, insomnia, loss of interest",Depression
"increased thirst, weight loss, fatigue",Diabetes
"cough, sore throat, mild fever, congestion",Common Cold
"itchy eyes, rash, sneezing, congestion, runny nose",Allergy
